,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2954,2954,2-комнатная квартира · 67.3 м² · 5/5 этаж,31000000,"Алатауский р-н, мкр Зердели, Мкр Зердели (Алгабас-6) — Бауыржана Момышулы пересечение Мөнке би",2,67.3,5
2955,2955,4-комнатная квартира · 91 м² · 4/5 этаж,92000000,"Медеуский р-н, проспект Достык — Омаровой",4,91.0,4
2956,2956,2-комнатная квартира · 44 м² · 2/4 этаж,31000000,"Бостандыкский р-н, Тимирязева 57",2,44.0,2
2957,2957,2-комнатная квартира · 52 м² · 12/13 этаж,54000000,"Бостандыкский р-н, Утепова 20 — Розабакиева-Утепова",2,52.0,12
2958,2958,2-комнатная квартира · 52.1 м² · 3/5 этаж,49900000,Мынбаева — Гагарина,2,52.1,3
2959,2959,3-комнатная квартира · 78 м²,76500000,"Бостандыкский р-н, Аль-Фараби 27/3 — Сейфуллина",3,78.0,0
2960,2960,2-комнатная квартира · 52 м² · 3/10 этаж,36900000,"Ауэзовский р-н, Утеген батыра 7/2",2,52.0,3
2961,2961,3-комнатная квартира · 95 м² · 9/18 этаж,68000000,"Бостандыкский р-н, Абая 164 — Брусиловского",3,95.0,9
2962,2962,4-комнатная квартира · 140 м² · 7/14 этаж,128000000,"Алмалинский р-н, Айманова — Рядом с парком Ганди",4,140.0,7
2963,2963,2-комнатная квартира · 49.1 м² · 5/10 этаж,26000000,Райымбек батыра,2,49.1,5
2964,2964,3-комнатная квартира · 129 м² · 4/9 этаж,86000000,"Алмалинский р-н, Кожамкулова 229 — Кабанбай батыра",3,129.0,4
2965,2965,2-комнатная квартира · 64 м² · 5/15 этаж,54165000,"Бостандыкский р-н, микрорайон Керемет 3 к1",2,64.0,5
2966,2966,3-комнатная квартира · 105 м² · 6/12 этаж,94000000,"Бостандыкский р-н, Торайгырова 21/1 — Мустафина",3,105.0,6
2967,2967,3-комнатная квартира · 106 м² · 3/3 этаж,90000000,"Бостандыкский р-н, 16 улица",3,106.0,3
2968,2968,1-комнатная квартира · 25 м² · 2/2 этаж,15500000,Немировича-Данченко 12 — Не общежитие!,1,25.0,2
2969,2969,2-комнатная квартира · 70 м² · 4/5 этаж,59000000,"Бостандыкский р-н, Жарокова — Левитана",2,70.0,4
2970,2970,1-комнатная квартира · 35 м² · 2/4 этаж,31000000,"Бостандыкский р-н, Масанчи 98 — Абая масанчи",1,35.0,2
2971,2971,3-комнатная квартира · 133 м² · 6/10 этаж,114500000,"Алмалинский р-н, Умбетбаева 77 77 — Шевченко",3,133.0,6
2972,2972,1-комнатная квартира · 43.3 м² · 1/5 этаж,33999000,Сатпаева 80 — Егизбаева,1,43.3,1
