,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
54,54,Готовый бизнес ps club здания в аренде · 150 м²,10 000 000〒,"Туран р-н, Рыскулова б/н",1,150.0,1
55,55,Готовый бизнес: ателье класса люкс · 65 м²,9 900 000〒,"Есильский р-н, Гейдара Алиева 14",1,65.0,1
56,56,Кондитерская/Кондитерский дом/Пекарня/Цех · 100 м²,20 000 000〒,Аккозиева 53,1,100.0,1
57,57,Действующий апарт отель · 526 м²,358 600 000〒,Озтюрка 4,1,526.0,1
58,58,ДОМ+СТО · 4.2 м²,120 000 000〒,. .,1,4.2,1
59,59,Капсульный хостел · 250 м²,22 000 000〒,"Медеуский р-н, Чайкиной 3б",1,250.0,1
60,60,Готовый бизнес. · 1000 м²,50 000 000〒,"Каратауский р-н, мкр Нуртас, улица Кулагер 203",1,1000.0,1
61,61,Действующий бизнес в селе Зеренда · 500 м²,58 000 000〒,Габдуллина 47,1,500.0,1
62,62,Продуктовый магазин · 174 м²,40 000 000〒,"Нура р-н, мкр Уркер, Сыганак 32",1,174.0,1
63,63,Спортивный Магазин с товаром · 72 м²,29 000 000〒,"Турксибский р-н, Староэлеваторская 2а 2а",1,72.0,1
64,64,Готовый бизнес · 147 м²,20 000 000〒,"Алматы р-н, Ильяс Жансугуров 8/1",1,147.0,1
65,65,Производство итальянского мороженого (джелато и сорбетов) · 45 м²,32 500 000〒,"Бостандыкский р-н, Айманова 140",1,45.0,1
66,66,Плов центр/Тандыр · 60 м²,12 500 000〒,"Нура р-н, Е-36 2",1,60.0,1
67,67,Готовый бизнес · 60 м²,3 000 000〒,"Наурызбайский р-н, мкр Таусамалы, Буланды 66",1,60.0,1
68,68,"Готовый бизнес, магазин одежды. · 60 м²",5 000 000〒,"Каратауский р-н, Толеметова 60",1,60.0,1
69,69,Кофейня как Бизнес · 90 м²,37 000 000〒,Баймагамбетова 158,1,90.0,1
70,70,Готовый бизнес · 1 м²,60 000 000〒,"Алматы р-н, Созак 6",1,1.0,1
71,71,Компьютерный клуб · 273 м²,26 500 000〒,мкр. Алтын орда 20 Д,1,273.0,1
72,72,Готовый бизнес · 210 м²,35 000 000〒,Достык 13,1,210.0,1
73,73,Лаунч-Хаб · 110 м²,36 600 000〒,"мкр Школьник, Скоробогатова 67/2",1,110.0,1
74,74,Прибыльный бизнес · 160 м²,20 000 000〒,"Есильский р-н, мкр Комсомольский, Мангилик ел 27",1,160.0,1
75,75,Прибыльный бизнес · 44 м²,25 000 000〒,"Казыбек би р-н, мкр Юго-Восток, Шахтерова 82",1,44.0,1
76,76,Прибыльный бизнес · 60 м²,15 000 000〒,"Есильский р-н, мкр Комсомольский, Кабанбай батыра 10",1,60.0,1
77,77,Мал шаруашылығына базы сатылады · 2500 м²,45 000 000〒,Промышылна зона 34,1,2500.0,1
78,78,Готовый бизнес по продаже мороженого и напитков · 6 м²,2 200 000〒,Достык 46,1,6.0,1
79,79,"Готовый бизнес ,с чистой выручкой 2 млн ! · 140 м²",13 000 000〒,"Есильский р-н, Сауран 20",1,140.0,1
80,80,Кофейня · 100 м²,31 900 000〒,"Алматы р-н, Шамши Калдаяков 8",1,100.0,1
81,81,Действующее кафе · 200 м²,200 000 000〒,Самарское 1,1,200.0,1
82,82,ДЕЙСТВУЮЩИЙ САЛОН КРАСОТЫ · 76 м²,4 000 000〒,"Нура р-н, Коргалжинское шоссе 2а",1,76.0,1
83,83,50% доля в общепите · 600 м²,200 000 000〒,"Казыбек би р-н, мкр Юго-Восток, Пр Республики 9",1,600.0,1
84,84,Мини маркет продуктовый · 100 м²,33 000 000〒,Жк Асыл Арман 18,1,100.0,1
85,85,Ресторан «Я с тобой» 700 м² – прибыльный бизнес под ключ! · 700 м²,70 000 000〒,Шоссе коргалжын 2,1,700.0,1
86,86,Ресторан-тойхану · 295 м²,190 000 000〒,"мкр Жана Орда, Алаш 18/2",1,295.0,1
87,87,!!!!!готовый бизнес по изготовлению бургеров и хотдогов · 50 м²,2 000 000〒,"Казыбек би р-н, мкр Юго-Восток, Республики 54/2",1,50.0,1
88,88,БСУ. Бетонный завод · 100 м²,90 000 000〒,Куттыгай батыра 5/4,1,100.0,1
89,89,Готовый бизнес · 22 м²,10 000 000〒,7-й мкр 28/1,1,22.0,1
90,90,Прибыльный бизнес · 250 м²,22 000 000〒,"Ауэзовский р-н, мкр Тастак-1 279б/1",1,250.0,1
91,91,Готовый бизнес. Действующий прибыльный. · 60 м²,30 000 000〒,"мкр Привокзальный-1, Баймуханова 66В",1,60.0,1
