Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
Отдельный дом · 4 комнаты · 66 м² · 6 сот.,18000000.0,"Шашкина — В шаговой доступности магазин ""Бакарди ""и ""Манго""",4,66.0,1,272727.2727272727,комфорт,низкий,средняя
Отдельный дом · 15 комнат · 350 м² · 6 сот.,85000000.0,"Жетысуский р-н, Табигат 4",15,350.0,1,242857.14285714287,комфорт,низкий,большая
Отдельный дом · 5 комнат · 100 м² · 7 сот.,47900000.0,"Жетысуский р-н, Гастелло — проспект Рыскулова",5,100.0,1,479000.0,комфорт,низкий,средняя
4-комнатный дом · 204.33 м²,126684600.0,Алатуская трасса п. Туздыбастау,0,204.33,1,620000.0,элит,низкий,большая
Отдельный дом · 6 комнат · 275 м² · 10 сот.,75000000.0,"Каратауский р-н, мкр Достык  — Алматинская трасса",6,275.0,1,272727.2727272727,комфорт,низкий,большая
Отдельный дом · 15 комнат · 568 м² · 20 сот.,98000000.0,Картбай бегжанова 165 — 19 км,15,568.0,1,172535.21126760563,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 290 м² · 10 сот.,36000000.0,"жилой массив Акжар-2, Акжар-2 907",4,290.0,1,124137.93103448275,комфорт,низкий,большая
Часть дома · 2 комнаты · 80 м² · 10 сот.,15000000.0,"жилой массив Юго-Запад-1, Тайманова 131 в — ул. Кызылжар",2,80.0,1,187500.0,комфорт,низкий,средняя
Часть дома · 4 комнаты · 160 м² · 8 сот.,85000000.0,Юго восток 27 — Дина гипермаркет рядом,4,160.0,1,531250.0,элит,низкий,большая
Часть дома · 3 комнаты · 65 м² · 4 сот.,33000000.0,"Медеуский р-н, Экибастузская 10 — Блока.",3,65.0,1,507692.3076923077,элит,низкий,средняя
Отдельный дом · 8 комнат · 300 м² · 8 сот.,270000000.0,"Наурызбайский р-н, Абая — Ашимова",8,300.0,1,900000.0,элит,низкий,большая
Отдельный дом · 4 комнаты · 134 м² · 10 сот.,70000000.0,"Нура р-н, Ш.Жандарбековой 45",4,134.0,1,522388.05970149254,элит,низкий,большая
Отдельный дом · 4 комнаты · 62 м² · 4 сот.,22000000.0,Ладушкина 41 — Рядом две школы,4,62.0,1,354838.70967741933,комфорт,низкий,средняя
