Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
0,0,3-комнатная квартира · 77 м² · 4/9 этаж,70000000,"Бостандыкский р-н, мкр Алмагуль",3,77.0,4,Бостандыкский р-н,мкр Алмагуль,909090.9090909091,элит,средний,средняя
1,1,1-комнатная квартира · 50 м² · 9/10 этаж,26000000,"Наурызбайский р-н, Жунисова 8/6",1,50.0,9,Наурызбайский р-н,Жунисова 8/6,520000.0,комфорт,высокий,средняя
2,2,2-комнатная квартира · 47 м² · 3/4 этаж,26000000,"Турксибский р-н, мкр 13-й военный городок, Суюнбая 292а — Суюнбая 292а",2,47.0,3,Турксибский р-н,"мкр 13-й военный городок, Суюнбая 292а — Суюнбая 292а",553191.4893617021,комфорт,низкий,малая
3,3,2-комнатная квартира · 55.2 м² · 4/10 этаж,53000000,"Ауэзовский р-н, мкр №12, 12-й мкрн 26",2,55.2,4,Ауэзовский р-н,"мкр №12, 12-й мкрн 26",960144.9275362318,элит,средний,средняя
4,4,4-комнатная квартира · 160 м² · 5/16 этаж,65000000,"Наурызбайский р-н, мкр Шугыла, Жуалы",4,160.0,5,Наурызбайский р-н,"мкр Шугыла, Жуалы",406250.0,комфорт,средний,большая
5,5,3-комнатная квартира · 58.7 м² · 1/4 этаж,38000000,"Алмалинский р-н, Манаса 3 — Угол Шевченко",3,58.7,1,Алмалинский р-н,Манаса 3 — Угол Шевченко,647359.4548551958,комфорт,низкий,средняя
6,6,3-комнатная квартира · 77 м² · 1/9 этаж,45000000,"Алатауский р-н, мкр Зердели, Аркалык 137  кв 1/156",3,77.0,1,Алатауский р-н,"мкр Зердели, Аркалык 137  кв 1/156",584415.5844155845,комфорт,низкий,средняя
7,7,3-комнатная квартира · 60 м² · 5/5 этаж,42000000,"Жетысуский р-н, мкр Айнабулак-3 114",3,60.0,5,Жетысуский р-н,мкр Айнабулак-3 114,700000.0,элит,средний,средняя
8,8,4-комнатная квартира · 97 м² · 2/10 этаж,65000000,"Наурызбайский р-н, мкр Шугыла 340/3 к 5 — Улугбека",4,97.0,2,Наурызбайский р-н,мкр Шугыла 340/3 к 5 — Улугбека,670103.0927835051,комфорт,низкий,большая
9,9,2-комнатная квартира · 65 м² · 10/10 этаж,31000000,"Наурызбайский р-н, мкр Калкаман-1, Жунисова 4/9",2,65.0,10,Наурызбайский р-н,"мкр Калкаман-1, Жунисова 4/9",476923.07692307694,комфорт,высокий,средняя
10,10,1-комнатная квартира · 42.8 м² · 12/13 этаж,22500000,"Ауэзовский р-н, мкр Сайран, Райымбека 341 — Толе-би",1,42.8,12,Ауэзовский р-н,"мкр Сайран, Райымбека 341 — Толе-би",525700.9345794393,комфорт,высокий,малая
11,11,3-комнатная квартира · 86.4 м² · 2/18 этаж,86000000,"Ауэзовский р-н, мкр Сайран 5 — Утеген Батыра 11 Г",3,86.4,2,Ауэзовский р-н,мкр Сайран 5 — Утеген Батыра 11 Г,995370.3703703703,элит,низкий,большая
12,12,1-комнатная квартира · 50 м² · 3/10 этаж,32000000,"Алатауский р-н, мкр Акбулак, Чуланова",1,50.0,3,Алатауский р-н,"мкр Акбулак, Чуланова",640000.0,комфорт,низкий,средняя
13,13,2-комнатная квартира · 83 м² · 5/10 этаж,70000000,"Медеуский р-н, Назарбаева",2,83.0,5,Медеуский р-н,Назарбаева,843373.4939759036,элит,средний,большая
14,14,4-комнатная квартира · 114.04 м²,81082440,"Жетысуский р-н, Райымбека 219Б",4,114.04,0,Жетысуский р-н,Райымбека 219Б,711000.0,элит,низкий,большая
15,15,1-комнатная квартира · 43.73 м²,26281730,"Турксибский р-н, Тараз",1,43.73,0,Турксибский р-н,Тараз,601000.0,комфорт,низкий,малая
16,16,2-комнатная квартира · 47.5 м² · 7/10 этаж,40000000,"Наурызбайский р-н, Кенесары хана 54",2,47.5,7,Наурызбайский р-н,Кенесары хана 54,842105.2631578947,элит,средний,малая
17,17,1-комнатная квартира · 36.3 м² · 10/12 этаж,25500000,"Алатауский р-н, мкр Акбулак, 1-я улица 111",1,36.3,10,Алатауский р-н,"мкр Акбулак, 1-я улица 111",702479.3388429752,элит,высокий,малая
18,18,2-комнатная квартира · 70 м² · 1/7 этаж,35000000,"Алатауский р-н, Касыма Шарипова 206/9",2,70.0,1,Алатауский р-н,Касыма Шарипова 206/9,500000.0,комфорт,низкий,средняя
19,19,2-комнатная квартира · 59 м²,42000000,"Алатауский р-н, мкр Аккент, Шарипа Омарова 1 — Фаризы Онгарсыновой",2,59.0,0,Алатауский р-н,"мкр Аккент, Шарипа Омарова 1 — Фаризы Онгарсыновой",711864.406779661,элит,низкий,средняя
20,20,3-комнатная квартира · 97.7 м² · 14/16 этаж,96000000,"Бостандыкский р-н, Гагарина 233",3,97.7,14,Бостандыкский р-н,Гагарина 233,982599.7952917092,элит,высокий,большая
21,21,2-комнатная квартира · 44.5 м² · 4/5 этаж,31000000,"Жетысуский р-н, мкр Айнабулак-1 15",2,44.5,4,Жетысуский р-н,мкр Айнабулак-1 15,696629.213483146,комфорт,средний,малая
22,22,2-комнатная квартира · 73 м² · 4/10 этаж,43000000,"Ауэзовский р-н, мкр Сайран, Утеген батыра 73 11 — Толеби Утеген батыра",2,73.0,4,Ауэзовский р-н,"мкр Сайран, Утеген батыра 73 11 — Толеби Утеген батыра",589041.095890411,комфорт,средний,средняя
23,23,2-комнатная квартира · 78 м² · 4/9 этаж,43000000,"Наурызбайский р-н, мкр Шугыла 340/3к17",2,78.0,4,Наурызбайский р-н,мкр Шугыла 340/3к17,551282.0512820513,комфорт,средний,средняя
24,24,4-комнатная квартира · 128 м² · 10/16 этаж,130000000,"Бостандыкский р-н, Мусрепова 24 — Сатпаева",4,128.0,10,Бостандыкский р-н,Мусрепова 24 — Сатпаева,1015625.0,элит,высокий,большая
25,25,3-комнатная квартира · 87 м² · 2 этаж,120000000,"Бостандыкский р-н, Аль-Фараби 41",3,87.0,0,Бостандыкский р-н,Аль-Фараби 41,1379310.3448275863,элит,низкий,большая
26,26,3-комнатная квартира · 72 м² · 9/12 этаж,43500000,"Алатауский р-н, мкр Акбулак, Дарабоз 65 — Момышулы",3,72.0,9,Алатауский р-н,"мкр Акбулак, Дарабоз 65 — Момышулы",604166.6666666666,комфорт,высокий,средняя
27,27,1-комнатная квартира · 31 м² · 1/5 этаж,25500000,"Бостандыкский р-н, мкр Орбита-3 — проспект Аль-Фараби и Саина",1,31.0,1,Бостандыкский р-н,мкр Орбита-3 — проспект Аль-Фараби и Саина,822580.6451612903,элит,низкий,малая
28,28,1-комнатная квартира · 51 м² · 11/16 этаж,65000000,"Бостандыкский р-н, Розыбакиева 388/Б2",1,51.0,11,Бостандыкский р-н,Розыбакиева 388/Б2,1274509.8039215687,элит,высокий,средняя
29,29,5-комнатная квартира · 230.94 м²,392598000,"Медеуский р-н, Городская 3",5,230.94,0,Медеуский р-н,Городская 3,1700000.0,элит,низкий,большая
30,30,2-комнатная квартира · 57.33 м²,33824700,"Турксибский р-н, Тараз",2,57.33,0,Турксибский р-н,Тараз,590000.0,комфорт,низкий,средняя
31,31,1-комнатная квартира · 33.6 м² · 5/5 этаж,21000000,"Турксибский р-н, мкр Жулдыз-2, Дунентаева 22",1,33.6,5,Турксибский р-н,"мкр Жулдыз-2, Дунентаева 22",625000.0,комфорт,средний,малая
32,32,3-комнатная квартира · 76 м² · 3/5 этаж,80000000,"Алмалинский р-н, Ауэзова 69 — Шевченко",3,76.0,3,Алмалинский р-н,Ауэзова 69 — Шевченко,1052631.5789473683,элит,низкий,средняя
33,33,3-комнатная квартира · 83 м² · 5/5 этаж,79000000,"Алмалинский р-н, Желтоксан 129 — Столичный ЦГ",3,83.0,5,Алмалинский р-н,Желтоксан 129 — Столичный ЦГ,951807.2289156626,элит,средний,большая
34,34,2-комнатная квартира · 71.4 м² · 17/17 этаж,49000000,"Ауэзовский р-н, Навои — Джандосова",2,71.4,17,Ауэзовский р-н,Навои — Джандосова,686274.5098039216,комфорт,высокий,средняя
35,35,3-комнатная квартира · 54.79 м²,39667960,"Алатауский р-н, Бауыржана Момышулы 11/14а",3,54.79,0,Алатауский р-н,Бауыржана Момышулы 11/14а,724000.0,элит,низкий,средняя
36,36,4-комнатная квартира · 204.33 м²,126684600,Алатуская трасса п. Туздыбастау,4,204.33,0,,,620000.0,комфорт,низкий,большая
37,37,1-комнатная квартира · 96.58 м²,91751000,"Медеуский р-н, Жамакаева 254",1,96.58,0,Медеуский р-н,Жамакаева 254,950000.0,элит,низкий,большая
38,38,1-комнатная квартира · 45 м² · 1/9 этаж,32000000,"Наурызбайский р-н, Акбата 46/3 — Жандосова Ашимова",1,45.0,1,Наурызбайский р-н,Акбата 46/3 — Жандосова Ашимова,711111.1111111111,элит,низкий,малая
39,39,2-комнатная квартира · 51 м² · 5/9 этаж,34500000,"Наурызбайский р-н, мкр Шугыла 34 — Абая алатаускии",2,51.0,5,Наурызбайский р-н,мкр Шугыла 34 — Абая алатаускии,676470.5882352941,комфорт,средний,средняя
40,40,2-комнатная квартира · 76.7 м² · 13/18 этаж,48000000,"Алмалинский р-н, Брусиловского 167 — Шакарима",2,76.7,13,Алмалинский р-н,Брусиловского 167 — Шакарима,625814.8631029987,комфорт,высокий,средняя
41,41,2-комнатная квартира · 54 м² · 8/9 этаж,31000000,"Турксибский р-н, Сарыарка",2,54.0,8,Турксибский р-н,Сарыарка,574074.074074074,комфорт,высокий,средняя
42,42,4-комнатная квартира · 250 м²,152500000,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",4,250.0,0,Бостандыкский р-н,"мкр Ерменсай, Ушкемпирова 42",610000.0,комфорт,низкий,большая
43,43,1-комнатная квартира · 45 м² · 1/9 этаж,32000000,"Наурызбайский р-н, Акбата 46/3 — Жандосова Ашимова",1,45.0,1,Наурызбайский р-н,Акбата 46/3 — Жандосова Ашимова,711111.1111111111,элит,низкий,малая
44,44,2-комнатная квартира · 51 м² · 5/9 этаж,34500000,"Наурызбайский р-н, мкр Шугыла 34 — Абая алатаускии",2,51.0,5,Наурызбайский р-н,мкр Шугыла 34 — Абая алатаускии,676470.5882352941,комфорт,средний,средняя
45,45,2-комнатная квартира · 76.7 м² · 13/18 этаж,48000000,"Алмалинский р-н, Брусиловского 167 — Шакарима",2,76.7,13,Алмалинский р-н,Брусиловского 167 — Шакарима,625814.8631029987,комфорт,высокий,средняя
46,46,2-комнатная квартира · 54 м² · 8/9 этаж,31000000,"Турксибский р-н, Сарыарка",2,54.0,8,Турксибский р-н,Сарыарка,574074.074074074,комфорт,высокий,средняя
47,47,4-комнатная квартира · 250 м²,152500000,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",4,250.0,0,Бостандыкский р-н,"мкр Ерменсай, Ушкемпирова 42",610000.0,комфорт,низкий,большая
48,48,1-комнатная квартира · 38 м² · 11/12 этаж,26000000,"Алатауский р-н, Улица Байтерекова, 73 — Улица Байтерекова, 73",1,38.0,11,Алатауский р-н,"Улица Байтерекова, 73 — Улица Байтерекова, 73",684210.5263157894,комфорт,высокий,малая
49,49,1-комнатная квартира · 32.1 м² · 5/5 этаж,36000000,"Бостандыкский р-н, Гагарина",1,32.1,5,Бостандыкский р-н,Гагарина,1121495.3271028036,элит,средний,малая
50,50,3-комнатная квартира · 58.5 м² · 4/4 этаж,50000000,"Алмалинский р-н, мкр Тастак-3, Ауэзова 64/1 — Шевченко",3,58.5,4,Алмалинский р-н,"мкр Тастак-3, Ауэзова 64/1 — Шевченко",854700.8547008547,элит,средний,средняя
51,51,2-комнатная квартира · 52 м² · 10/10 этаж,32500000,"Турксибский р-н, Сейфуллина 51",2,52.0,10,Турксибский р-н,Сейфуллина 51,625000.0,комфорт,высокий,средняя
52,52,2-комнатная квартира · 57 м² · 9/10 этаж,28999999,"Наурызбайский р-н, мкр Шугыла, Жунисова — Алатау",2,57.0,9,Наурызбайский р-н,"мкр Шугыла, Жунисова — Алатау",508771.91228070174,комфорт,высокий,средняя
53,53,1-комнатная квартира · 43 м² · 2/5 этаж,28500000,"Медеуский р-н, мкр Думан-2 26 — Халык Арена",1,43.0,2,Медеуский р-н,мкр Думан-2 26 — Халык Арена,662790.6976744186,комфорт,низкий,малая
54,54,2-комнатная квартира · 79.93 м²,135881000,"Бостандыкский р-н, Радостовца 12",2,79.93,0,Бостандыкский р-н,Радостовца 12,1699999.9999999998,элит,низкий,средняя
55,55,2-комнатная квартира · 81 м²,85050000,"Медеуский р-н, Оспанова 83/36",2,81.0,0,Медеуский р-н,Оспанова 83/36,1050000.0,элит,низкий,большая
56,56,2-комнатная квартира · 82.5 м²,99000000,"Медеуский р-н, Сагадат Нурмагамбетов 71",2,82.5,0,Медеуский р-н,Сагадат Нурмагамбетов 71,1200000.0,элит,низкий,большая
57,57,1-комнатная квартира · 29.8 м²,11324000,"Алатауский р-н, Момышулы, севернее ул. Монке би",1,29.8,0,Алатауский р-н,"Момышулы, севернее ул. Монке би",380000.0,эконом,низкий,малая
58,58,3-комнатная квартира · 118.8 м²,142560000,"Алмалинский р-н, Ади Шарипова 100",3,118.8,0,Алмалинский р-н,Ади Шарипова 100,1200000.0,элит,низкий,большая
59,59,2-комнатная квартира · 65.28 м²,47654400,"Алатауский р-н, Ботакоз 2/1",2,65.28,0,Алатауский р-н,Ботакоз 2/1,730000.0,элит,низкий,средняя
60,60,5-комнатная квартира · 187 м² · 2/3 этаж,410525000,"Бостандыкский р-н, мкр Мирас 118",5,187.0,2,Бостандыкский р-н,мкр Мирас 118,2195320.855614973,элит,низкий,большая
61,61,1-комнатная квартира · 39.1 м² · 4/9 этаж,35000000,"Алмалинский р-н, шевченко 129 — муканова",1,39.1,4,Алмалинский р-н,шевченко 129 — муканова,895140.6649616368,элит,средний,малая
62,62,2-комнатная квартира · 65 м² · 2/9 этаж,37500000,"Наурызбайский р-н, мкр Шугыла, Мкр. Шугыла 340/3 — проспект Абая",2,65.0,2,Наурызбайский р-н,"мкр Шугыла, Мкр. Шугыла 340/3 — проспект Абая",576923.0769230769,комфорт,низкий,средняя
63,63,1-комнатная квартира · 30 м² · 5/5 этаж,17000000,"Алатауский р-н, мкр Саялы 33 — ул Аркалык 33",1,30.0,5,Алатауский р-н,мкр Саялы 33 — ул Аркалык 33,566666.6666666666,комфорт,средний,малая
64,64,1-комнатная квартира · 40 м² · 4/12 этаж,31500000,"Наурызбайский р-н, мкр Шугыла",1,40.0,4,Наурызбайский р-н,мкр Шугыла,787500.0,элит,средний,малая
65,65,2-комнатная квартира · 65 м² · 5/6 этаж,27500000,"Жетысуский р-н, мкр Кокжиек 42",2,65.0,5,Жетысуский р-н,мкр Кокжиек 42,423076.92307692306,комфорт,средний,средняя
66,66,3-комнатная квартира · 128.8 м²,130088000,"Медеуский р-н, Оспанова 83/36",3,128.8,0,Медеуский р-н,Оспанова 83/36,1009999.9999999999,элит,низкий,большая
67,67,1-комнатная квартира · 33 м² · 5/5 этаж,38000000,"Медеуский р-н, Пр.Достык — Омарова - Байжанова",1,33.0,5,Медеуский р-н,Пр.Достык — Омарова - Байжанова,1151515.1515151516,элит,средний,малая
68,68,2-комнатная квартира · 63.3 м² · 11/12 этаж,74000000,"Бостандыкский р-н, Розыбакиева 181а",2,63.3,11,Бостандыкский р-н,Розыбакиева 181а,1169036.3349131122,элит,высокий,средняя
69,69,3-комнатная квартира · 100 м² · 13/16 этаж,85500000,"Бостандыкский р-н, Сатпаева 90/58",3,100.0,13,Бостандыкский р-н,Сатпаева 90/58,855000.0,элит,высокий,большая
70,70,2-комнатная квартира · 70 м² · 1/7 этаж,38500000,"Турксибский р-н, Микрорайон Кайрат 313",2,70.0,1,Турксибский р-н,Микрорайон Кайрат 313,550000.0,комфорт,низкий,средняя
71,71,2-комнатная квартира · 68 м² · 2/10 этаж,37000000,"Наурызбайский р-н, мкр Шугыла, Жүнісова — Магнум",2,68.0,2,Наурызбайский р-н,"мкр Шугыла, Жүнісова — Магнум",544117.6470588235,комфорт,низкий,средняя
72,72,3-комнатная квартира · 82 м² · 9 этаж,66000000,"Наурызбайский р-н, мкр Калкаман-1, Абишева 36/13",3,82.0,0,Наурызбайский р-н,"мкр Калкаман-1, Абишева 36/13",804878.0487804879,элит,низкий,большая
73,73,1-комнатная квартира · 40 м² · 12/13 этаж,26999999,"Наурызбайский р-н, Абишева",1,40.0,12,Наурызбайский р-н,Абишева,674999.975,комфорт,высокий,малая
74,74,3-комнатная квартира · 70 м² · 3/7 этаж,47000000,"Алатауский р-н, Касыма Шарипова 206/4 — Саина",3,70.0,3,Алатауский р-н,Касыма Шарипова 206/4 — Саина,671428.5714285715,комфорт,низкий,средняя
75,75,2-комнатная квартира · 43.5 м² · 2/3 этаж,28500000,"Жетысуский р-н, мкр Дорожник, Микрорайон Кокмайса",2,43.5,2,Жетысуский р-н,"мкр Дорожник, Микрорайон Кокмайса",655172.4137931034,комфорт,низкий,малая
76,76,3-комнатная квартира · 76 м² · 1/9 этаж,48000000,"Ауэзовский р-н, мкр Жетысу-2 31 — Улугбека Сайна",3,76.0,1,Ауэзовский р-н,мкр Жетысу-2 31 — Улугбека Сайна,631578.947368421,комфорт,низкий,средняя
77,77,2-комнатная квартира · 76 м² · 18/20 этаж,78000000,"Бостандыкский р-н, Гагарина 310 — Альфараби угол Гагарина",2,76.0,18,Бостандыкский р-н,Гагарина 310 — Альфараби угол Гагарина,1026315.7894736842,элит,высокий,средняя
78,78,3-комнатная квартира · 77 м² · 1/4 этаж,55000000,"Бостандыкский р-н, мкр Алмагуль, Розыбакиева 153 В",3,77.0,1,Бостандыкский р-н,"мкр Алмагуль, Розыбакиева 153 В",714285.7142857143,элит,низкий,средняя
79,79,1-комнатная квартира · 24.3 м² · 2/2 этаж,17000000,"Турксибский р-н, Суюнбая — Суюнбая-Хмельницкого",1,24.3,2,Турксибский р-н,Суюнбая — Суюнбая-Хмельницкого,699588.4773662551,комфорт,низкий,малая
80,80,1-комнатная квартира · 35 м² · 1/2 этаж,12500000,"Жетысуский р-н, проспект Т.Рыскулова 66",1,35.0,1,Жетысуский р-н,проспект Т.Рыскулова 66,357142.85714285716,эконом,низкий,малая
81,81,2-комнатная квартира · 64 м² · 2/6 этаж,28000000,"Жетысуский р-н, мкр Кокжиек",2,64.0,2,Жетысуский р-н,мкр Кокжиек,437500.0,комфорт,низкий,средняя
82,82,1-комнатная квартира · 40 м² · 5/12 этаж,42000000,"Бостандыкский р-н, Сатпаева — Туркебаева",1,40.0,5,Бостандыкский р-н,Сатпаева — Туркебаева,1050000.0,элит,средний,малая
83,83,2-комнатная квартира · 52 м² · 6/6 этаж,28000000,"Алатауский р-н, мкр Нуркент 9/9",2,52.0,6,Алатауский р-н,мкр Нуркент 9/9,538461.5384615385,комфорт,средний,средняя
84,84,2-комнатная квартира · 65 м² · 4/16 этаж,36000000,"Алатауский р-н, мкр Аккент",2,65.0,4,Алатауский р-н,мкр Аккент,553846.1538461539,комфорт,средний,средняя
85,85,3-комнатная квартира · 78 м² · 7/9 этаж,64000000,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2 61",3,78.0,7,Медеуский р-н,"мкр Думан-2, Мкрн Думан-2 61",820512.8205128205,элит,средний,средняя
86,86,3-комнатная квартира · 58.7 м² · 1/3 этаж,38000000,"Жетысуский р-н, мкр Дорожник, Микрорайон Кокмайса 36/2блокА",3,58.7,1,Жетысуский р-н,"мкр Дорожник, Микрорайон Кокмайса 36/2блокА",647359.4548551958,комфорт,низкий,средняя
87,87,3-комнатная квартира · 90 м² · 5/10 этаж,54900000,"Турксибский р-н, Сейфуллина",3,90.0,5,Турксибский р-н,Сейфуллина,610000.0,комфорт,средний,большая
88,88,2-комнатная квартира · 44.4 м² · 1/4 этаж,26990000,"Ауэзовский р-н, мкр №1 66",2,44.4,1,Ауэзовский р-н,мкр №1 66,607882.882882883,комфорт,низкий,малая
89,89,3-комнатная квартира · 77 м² · 6/6 этаж,38000000,"Наурызбайский р-н, Жунисова",3,77.0,6,Наурызбайский р-н,Жунисова,493506.4935064935,комфорт,средний,средняя
90,90,3-комнатная квартира · 72 м² · 3/5 этаж,52500000,"Ауэзовский р-н, мкр Жетысу-4, Жетісу-4 ш/а. — Абая Момышұлы",3,72.0,3,Ауэзовский р-н,"мкр Жетысу-4, Жетісу-4 ш/а. — Абая Момышұлы",729166.6666666666,элит,низкий,средняя
91,91,2-комнатная квартира · 58.7 м² · 5/5 этаж,33500000,"Алатауский р-н, мкр Зердели, Мкр Зердели (Алгабас-6) 22",2,58.7,5,Алатауский р-н,"мкр Зердели, Мкр Зердели (Алгабас-6) 22",570698.4667802384,комфорт,средний,средняя
92,92,3-комнатная квартира · 77 м² · 8/8 этаж,71000000,"Алмалинский р-н, Курмангазы — Байсеитова",3,77.0,8,Алмалинский р-н,Курмангазы — Байсеитова,922077.922077922,элит,высокий,средняя
93,93,2-комнатная квартира · 64.7 м² · 8/9 этаж,36000000,"Алатауский р-н, Бауыржана Момышулы 11/1",2,64.7,8,Алатауский р-н,Бауыржана Момышулы 11/1,556414.2194744976,комфорт,высокий,средняя
94,94,1-комнатная квартира · 44 м² · 2/5 этаж,35000000,"Алмалинский р-н, Шевченко 162 — Байзакова",1,44.0,2,Алмалинский р-н,Шевченко 162 — Байзакова,795454.5454545454,элит,низкий,малая
95,95,1-комнатная квартира · 24 м² · 3/3 этаж,16200000,"Алатауский р-н, Устирт 22",1,24.0,3,Алатауский р-н,Устирт 22,675000.0,комфорт,низкий,малая
96,96,1-комнатная квартира · 43.15 м² · 1/12 этаж,32000000,"Алатауский р-н, мкр Гажайып, Бауыржана Момышулы I — Монке би",1,43.15,1,Алатауский р-н,"мкр Гажайып, Бауыржана Момышулы I — Монке би",741599.0730011588,элит,низкий,малая
97,97,4-комнатная квартира · 83 м² · 4/5 этаж,51500000,"Ауэзовский р-н, мкр Аксай-4",4,83.0,4,Ауэзовский р-н,мкр Аксай-4,620481.9277108434,комфорт,средний,большая
98,98,3-комнатная квартира · 87 м² · 7/12 этаж,72000000,"Наурызбайский р-н, Коктерек 139/11",3,87.0,7,Наурызбайский р-н,Коктерек 139/11,827586.2068965518,элит,средний,большая
99,99,1-комнатная квартира · 27 м² · 6/10 этаж,19000000,"Наурызбайский р-н, мкр Шугыла, Жунисова 12/1",1,27.0,6,Наурызбайский р-н,"мкр Шугыла, Жунисова 12/1",703703.7037037037,элит,средний,малая
100,100,2-комнатная квартира · 55 м² · 7/12 этаж,34000000,"Алатауский р-н, мкр Дарабоз 37 — Алматы арена",2,55.0,7,Алатауский р-н,мкр Дарабоз 37 — Алматы арена,618181.8181818182,комфорт,средний,средняя
101,101,1-комнатная квартира · 38 м² · 3/5 этаж,19000000,"Алатауский р-н, Северное кольцо 92/4",1,38.0,3,Алатауский р-н,Северное кольцо 92/4,500000.0,комфорт,низкий,малая
102,102,1-комнатная квартира · 58 м² · 9/14 этаж,25000000,"Наурызбайский р-н, мкр Шугыла, Жуалы",1,58.0,9,Наурызбайский р-н,"мкр Шугыла, Жуалы",431034.4827586207,комфорт,высокий,средняя
103,103,2-комнатная квартира · 69 м² · 4/10 этаж,37300000,"Алатауский р-н, мкр Акбулак, Чуланова 127 — Момышулы - Рыскулова",2,69.0,4,Алатауский р-н,"мкр Акбулак, Чуланова 127 — Момышулы - Рыскулова",540579.7101449275,комфорт,средний,средняя
104,104,2-комнатная квартира · 68 м² · 7/9 этаж,36500000,"Алатауский р-н, мкр Акбулак 35",2,68.0,7,Алатауский р-н,мкр Акбулак 35,536764.7058823529,комфорт,средний,средняя
105,105,2-комнатная квартира · 67 м² · 4/9 этаж,33000000,"Алатауский р-н, мкр Нуркент, Мкр Нуркент (Алгабас-1) 42 — Ул Рысулова - Ул Момышулы",2,67.0,4,Алатауский р-н,"мкр Нуркент, Мкр Нуркент (Алгабас-1) 42 — Ул Рысулова - Ул Момышулы",492537.3134328358,комфорт,средний,средняя
106,106,4-комнатная квартира · 100 м² · 5/5 этаж,79000000,"Алмалинский р-н, Розыбакиева 70",4,100.0,5,Алмалинский р-н,Розыбакиева 70,790000.0,элит,средний,большая
107,107,2-комнатная квартира · 57.6 м² · 16/16 этаж,57000000,"Бостандыкский р-н, Розыбакиева 197/6 — Ескараева",2,57.6,16,Бостандыкский р-н,Розыбакиева 197/6 — Ескараева,989583.3333333333,элит,высокий,средняя
108,108,1-комнатная квартира · 21 м² · 2/3 этаж,13000000,"Турксибский р-н, Майлина 117",1,21.0,2,Турксибский р-н,Майлина 117,619047.619047619,комфорт,низкий,малая
109,109,3-комнатная квартира · 105 м² · 10/12 этаж,90000000,"Бостандыкский р-н, Торайгырова 21/1",3,105.0,10,Бостандыкский р-н,Торайгырова 21/1,857142.8571428572,элит,высокий,большая
110,110,3-комнатная квартира · 60 м² · 4/4 этаж,33499999,"Ауэзовский р-н, мкр №1 45 — Алтынсарин Улугбека",3,60.0,4,Ауэзовский р-н,мкр №1 45 — Алтынсарин Улугбека,558333.3166666667,комфорт,средний,средняя
111,111,3-комнатная квартира · 73 м² · 3/3 этаж,73000000,"Медеуский р-н, Кербулакская 8/1 к1 — Оспанова",3,73.0,3,Медеуский р-н,Кербулакская 8/1 к1 — Оспанова,1000000.0,элит,низкий,средняя
112,112,3-комнатная квартира · 67.19 м² · 11/12 этаж,41000000,"Алатауский р-н, Бауыржана Момышулы 5 — Монке би",3,67.19,11,Алатауский р-н,Бауыржана Момышулы 5 — Монке би,610209.8526566454,комфорт,высокий,средняя
113,113,3-комнатная квартира · 75.2 м² · 5/5 этаж,30900000,"Алатауский р-н, мкр Ожет, Северное кольцо — Рынок Ожет, Кенжехан",3,75.2,5,Алатауский р-н,"мкр Ожет, Северное кольцо — Рынок Ожет, Кенжехан",410904.25531914894,комфорт,средний,средняя
114,114,3-комнатная квартира · 70.9 м² · 16/16 этаж,65000000,"Бостандыкский р-н, Сатпаева 90/58 — ТРЦ АДК",3,70.9,16,Бостандыкский р-н,Сатпаева 90/58 — ТРЦ АДК,916784.2031029619,элит,высокий,средняя
115,115,1-комнатная квартира · 36.5 м² · 5/9 этаж,27000000,"Медеуский р-н, мкр Атырау",1,36.5,5,Медеуский р-н,мкр Атырау,739726.0273972603,элит,средний,малая
116,116,3-комнатная квартира · 93 м² · 5/9 этаж,52000000,"Жетысуский р-н, мкр Кулагер",3,93.0,5,Жетысуский р-н,мкр Кулагер,559139.7849462365,комфорт,средний,большая
117,117,2-комнатная квартира · 34.6 м² · 2/2 этаж,17940000,"Алатауский р-н, Кисловодская 35",2,34.6,2,Алатауский р-н,Кисловодская 35,518497.1098265896,комфорт,низкий,малая
118,118,3-комнатная квартира · 86.6 м²,44382500,Абая 2а/1,3,86.6,0,,,512500.00000000006,комфорт,низкий,большая
119,119,3-комнатная квартира · 137 м²,89050000,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",3,137.0,0,Бостандыкский р-н,"мкр Ерменсай, Ушкемпирова 42",650000.0,комфорт,низкий,большая
120,120,2-комнатная квартира · 48.43 м²,26152200,"Жетысуский р-н, Райымбека 241",2,48.43,0,Жетысуский р-н,Райымбека 241,540000.0,комфорт,низкий,малая
121,121,1-комнатная квартира · 42.8 м² · 2/5 этаж,26000000,"Алатауский р-н, 20-й микрорайон",1,42.8,2,Алатауский р-н,20-й микрорайон,607476.6355140187,комфорт,низкий,малая
122,122,1-комнатная квартира · 33 м² · 10/10 этаж,22000000,"Наурызбайский р-н, мкр Шугыла, Мкр. Шугыла 340/3",1,33.0,10,Наурызбайский р-н,"мкр Шугыла, Мкр. Шугыла 340/3",666666.6666666666,комфорт,высокий,малая
