Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
2502,2502,2-комнатная квартира · 48 м² · 4/13 этаж,42000000,"Алмалинский р-н, Толе би — Жарокова",2,48.0,4,Алмалинский р-н,Толе би — Жарокова,875000.0,элит,средний,малая
2503,2503,1-комнатная квартира · 30 м² · 4/9 этаж,19500000,"Наурызбайский р-н, мкр Шугыла",1,30.0,4,Наурызбайский р-н,мкр Шугыла,650000.0,комфорт,средний,малая
2504,2504,3-комнатная квартира · 70 м² · 5/9 этаж,66000000,"Ауэзовский р-н, мкр Жетысу-3 5",3,70.0,5,Ауэзовский р-н,мкр Жетысу-3 5,942857.1428571428,элит,средний,средняя
2505,2505,2-комнатная квартира · 69 м² · 16/17 этаж,47500000,"Ауэзовский р-н, Мамыр-1",2,69.0,16,Ауэзовский р-н,Мамыр-1,688405.7971014492,комфорт,высокий,средняя
2506,2506,1-комнатная квартира · 48 м² · 3/16 этаж,40000000,"Бостандыкский р-н, Утепова 20",1,48.0,3,Бостандыкский р-н,Утепова 20,833333.3333333334,элит,низкий,малая
2507,2507,3-комнатная квартира · 85 м² · 11/11 этаж,65500000,"Бостандыкский р-н, Жарокова 234 — Байкадамова",3,85.0,11,Бостандыкский р-н,Жарокова 234 — Байкадамова,770588.2352941176,элит,высокий,большая
2508,2508,1-комнатная квартира · 35 м² · 2/5 этаж,26000000,"Алмалинский р-н, проспект Райымбека — Емцова",1,35.0,2,Алмалинский р-н,проспект Райымбека — Емцова,742857.1428571428,элит,низкий,малая
2509,2509,1-комнатная квартира · 32 м² · 3/5 этаж,22000000,"Турксибский р-н, мкр Жулдыз-2 28",1,32.0,3,Турксибский р-н,мкр Жулдыз-2 28,687500.0,комфорт,низкий,малая
2510,2510,3-комнатная квартира · 63 м² · 3/5 этаж,44000000,"Алмалинский р-н, Карасай батыра 180 — Жарокова",3,63.0,3,Алмалинский р-н,Карасай батыра 180 — Жарокова,698412.6984126985,комфорт,низкий,средняя
2511,2511,3-комнатная квартира · 63 м² · 1/4 этаж,37500000,"Ауэзовский р-н, Жандосова — Саина",3,63.0,1,Ауэзовский р-н,Жандосова — Саина,595238.0952380953,комфорт,низкий,средняя
2512,2512,1-комнатная квартира · 33 м² · 1/4 этаж,25000000,"Ауэзовский р-н, мкр №4 — Рынок Сары-Арка",1,33.0,1,Ауэзовский р-н,мкр №4 — Рынок Сары-Арка,757575.7575757576,элит,низкий,малая
2513,2513,1-комнатная квартира · 42 м² · 5/9 этаж,21000000,"Алатауский р-н, Жапсарбаева 68 блок 5 — Северное кольцо",1,42.0,5,Алатауский р-н,Жапсарбаева 68 блок 5 — Северное кольцо,500000.0,комфорт,средний,малая
2514,2514,1-комнатная квартира · 19.2 м² · 1/9 этаж,16300000,"Ауэзовский р-н, мкр Аксай-1А 28A",1,19.2,1,Ауэзовский р-н,мкр Аксай-1А 28A,848958.3333333334,элит,низкий,малая
2515,2515,2-комнатная квартира · 43.3 м² · 1/4 этаж,26999999,"Ауэзовский р-н, мкр №1",2,43.3,1,Ауэзовский р-н,мкр №1,623556.5588914551,комфорт,низкий,малая
2516,2516,1-комнатная квартира · 57.6 м² · 7/15 этаж,49900000,"Бостандыкский р-н, Жарокова 218 — Утепова",1,57.6,7,Бостандыкский р-н,Жарокова 218 — Утепова,866319.4444444444,элит,средний,средняя
2517,2517,3-комнатная квартира · 83 м² · 5/5 этаж,39900000,"Медеуский р-н, Халиуллина 196/1",3,83.0,5,Медеуский р-н,Халиуллина 196/1,480722.8915662651,комфорт,средний,большая
2518,2518,2-комнатная квартира · 47 м² · 2/4 этаж,30500000,"Медеуский р-н, Назарбаева",2,47.0,2,Медеуский р-н,Назарбаева,648936.1702127659,комфорт,низкий,малая
2519,2519,2-комнатная квартира · 75 м² · 13/13 этаж,65000000,"Алмалинский р-н, Толе би 189/3 — Толе би Жарокова",2,75.0,13,Алмалинский р-н,Толе би 189/3 — Толе би Жарокова,866666.6666666666,элит,высокий,средняя
2520,2520,2-комнатная квартира · 43 м² · 5/9 этаж,26200000,"Алатауский р-н, мкр Аккент",2,43.0,5,Алатауский р-н,мкр Аккент,609302.3255813953,комфорт,средний,малая
2521,2521,4-комнатная квартира · 115 м² · 12/21 этаж,56000000,"Алмалинский р-н, Толе би 286/8 — Тлендиева",4,115.0,12,Алмалинский р-н,Толе би 286/8 — Тлендиева,486956.52173913043,комфорт,высокий,большая
2522,2522,2-комнатная квартира · 58.2 м² · 3/12 этаж,38500000,"Алатауский р-н, мкр Акбулак, Дарабоз 65 — Момышулы",2,58.2,3,Алатауский р-н,"мкр Акбулак, Дарабоз 65 — Момышулы",661512.0274914089,комфорт,низкий,средняя
2523,2523,2-комнатная квартира · 42 м² · 3/6 этаж,30800000,"Бостандыкский р-н, Кенесары хана 83/2 — Кенесары хана",2,42.0,3,Бостандыкский р-н,Кенесары хана 83/2 — Кенесары хана,733333.3333333334,элит,низкий,малая
2524,2524,3-комнатная квартира · 101.9 м² · 4/4 этаж,84000000,"Наурызбайский р-н, мкр Рахат, Мкр.Рахат, ул.Культобе уч.№1, уч№24",3,101.9,4,Наурызбайский р-н,"мкр Рахат, Мкр.Рахат, ул.Культобе уч.№1, уч№24",824337.5858684984,элит,средний,большая
2525,2525,3-комнатная квартира · 68 м² · 1/1 этаж,19400000,"Жетысуский р-н, мкр Кокжиек, Таланта",3,68.0,1,Жетысуский р-н,"мкр Кокжиек, Таланта",285294.1176470588,эконом,низкий,средняя
2526,2526,3-комнатная квартира · 50.6 м² · 6/13 этаж,42999999,"Алмалинский р-н, Варламова 1/3",3,50.6,6,Алмалинский р-н,Варламова 1/3,849802.3517786561,элит,средний,средняя
2527,2527,2-комнатная квартира · 67 м² · 3/9 этаж,31700000,"Алатауский р-н, мкр Нуркент, Алгабас-1 78",2,67.0,3,Алатауский р-н,"мкр Нуркент, Алгабас-1 78",473134.32835820894,комфорт,низкий,средняя
2528,2528,2-комнатная квартира · 90.1 м² · 3/13 этаж,70000000,Варламова 33 — Варламова 33,2,90.1,3,,,776914.539400666,элит,низкий,большая
2529,2529,4-комнатная квартира · 100 м² · 2/3 этаж,55000000,"Турксибский р-н, Молдагалиева — Акан Серы",4,100.0,2,Турксибский р-н,Молдагалиева — Акан Серы,550000.0,комфорт,низкий,большая
2530,2530,1-комнатная квартира · 35 м² · 4/5 этаж,24000000,"Алмалинский р-н, мкр Тастак-2, Райымбека 383 — проспект Райымбека, улица Емцова",1,35.0,4,Алмалинский р-н,"мкр Тастак-2, Райымбека 383 — проспект Райымбека, улица Емцова",685714.2857142857,комфорт,средний,малая
2531,2531,2-комнатная квартира · 54.8 м² · 3/4 этаж,38000000,"Алмалинский р-н, Байтурсынова 43 — Уг. Толе би",2,54.8,3,Алмалинский р-н,Байтурсынова 43 — Уг. Толе би,693430.6569343066,комфорт,низкий,средняя
2532,2532,2-комнатная квартира · 75 м² · 6/16 этаж,72000000,"Алмалинский р-н, Масанчи 23/9 — Гоголя масанчи",2,75.0,6,Алмалинский р-н,Масанчи 23/9 — Гоголя масанчи,960000.0,элит,средний,средняя
